Employee Name,Employee ID,Gender,Age,Tenure,Role,Department,Starting Salary,Current Salary,Location,Contract,Years of Experience,Average Monthly Working Hours,Months in Role,Promotion History,Last Performance Review Score,Start Date,End Date,Turnover
Luke Parker,2146,Female,64,8.5,Engineering Manager,IT,92818,120071,Office-Based,Full-time,14,197,12,2,5,2016-07-15,,0
Cody Berger,6409,Male,51,6.3,Marketing Manager,Marketing,63285,78079,Remote,Full-time,33,193,5,4,4,2018-10-19,,0
Kimberly Johnson,6143,Male,54,1.5,Software Engineer,IT,71671,117866,Office-Based,Full-time,4,130,17,0,1,2022-01-14,2023-06-28,1
Cristina Banks,3041,Female,51,13.1,Sales Manager,Sales,70962,112293,Office-Based,Part-time,33,129,37,1,5,2011-11-30,,0
Paul Krueger,5920,Female,61,1.4,Marketing Manager,Marketing,69755,103352,Office-Based,Full-time,36,162,16,0,3,2021-03-23,2022-08-06,1
Bryan Baker,9308,Female,40,2.1,Engineering Manager,IT,91447,128390,Remote,Full-time,22,194,22,1,4,2015-02-23,2017-04-01,1
Melissa Cox,6067,Male,64,0.4,Account Executive,Sales,48311,81445,Remote,Full-time,19,152,4,1,3,2024-08-28,,0
Dr. Donald Castro,7691,Female,39,12.4,Sales Manager,Sales,99646,138428,Office-Based,Full-time,14,167,11,5,5,2012-08-23,,0
Scott Davidson,6344,Female,37,4.8,Marketing Specialist,Marketing,45531,55038,Office-Based,Full-time,13,183,1,1,5,2020-04-23,,0
Paul Adams,7592,Female,46,8.1,Software Engineer,IT,88127,110741,Remote,Full-time,14,134,18,2,3,2015-09-07,2023-10-07,1
Ryan Gonzales,5844,Female,47,3.8,Sales Manager,Sales,64890,109684,Office-Based,Full-time,27,138,4,5,5,2021-04-18,,0
Thomas Rose,3085,Female,22,3.0,Software Engineer,IT,84752,87440,Remote,Full-time,4,165,1,1,5,2021-12-10,2024-11-23,1
Amanda Lambert,4143,Female,61,9.8,Marketing Specialist,Marketing,57503,63943,Remote,Full-time,27,179,5,3,5,2015-03-23,,0
Joseph King,7888,Male,65,12.0,Engineering Manager,IT,85238,97029,Office-Based,Full-time,46,121,30,3,5,2013-01-20,,0
Richard Davis,7211,Male,48,1.4,Marketing Specialist,Marketing,54379,101909,Remote,Full-time,23,123,1,1,5,2022-04-01,2023-08-25,1
Bryan Mathews,3851,Male,60,4.7,Engineering Manager,IT,47981,94385,Office-Based,Full-time,18,197,8,5,3,2020-05-07,,0
Tyler Sanchez,5930,Male,29,0.1,Engineering Manager,IT,44962,86825,Office-Based,Part-time,5,174,1,1,5,2024-12-24,,0
Cheryl Garza,7653,Female,38,0.5,Marketing Manager,Marketing,65466,87266,Office-Based,Full-time,9,153,6,0,1,2013-04-29,2013-11-13,1
Gloria Hughes DVM,9977,Male,53,4.2,Sales Manager,Sales,82302,114549,Remote,Full-time,24,175,11,4,4,2020-11-15,,0
Marie Stewart,1006,Male,50,5.6,Account Executive,Sales,77443,125123,Remote,Full-time,7,183,26,1,3,2019-06-16,,0
Heather Brown,5978,Male,24,1.3,Marketing Manager,Marketing,77659,77901,Office-Based,Part-time,3,182,12,1,4,2023-10-13,,0
Laura Flores,5700,Female,26,4.9,Account Executive,Sales,77174,112255,Office-Based,Full-time,8,158,6,4,4,2020-02-23,,0
Benjamin Copeland,4443,Male,45,3.8,Director,IT,90233,109235,Office-Based,Full-time,6,125,2,4,5,2021-03-21,,0
Terry Ashley,8043,Male,41,1.6,Marketing Manager,Marketing,45561,87031,Office-Based,Full-time,22,124,14,1,4,2023-06-04,,0
Andrew Collins,6279,Male,53,7.4,Marketing Manager,Marketing,74992,104437,Office-Based,Full-time,28,163,8,3,3,2017-08-19,,0
Angela Butler,8618,Male,47,0.1,Engineering Manager,IT,77968,93236,Office-Based,Full-time,22,138,1,0,3,2024-08-28,2024-09-29,1
Benjamin Jones,8238,Male,52,9.0,Engineering Manager,IT,82518,91072,Remote,Full-time,11,159,37,2,5,2016-01-19,,0
Megan Watson,8244,Male,51,6.8,Account Executive,Sales,72580,111572,Office-Based,Full-time,9,145,37,1,4,2018-04-22,,0
Christopher Gutierrez,4501,Female,42,0.3,Marketing Specialist,Marketing,94816,108790,Office-Based,Full-time,19,162,3,0,1,2017-08-06,2017-11-22,1
Angel Garcia,9375,Female,31,5.2,Sales Manager,Sales,68748,84715,Office-Based,Full-time,11,132,16,5,5,2019-11-12,,0
Steven Baker,8752,Female,32,3.1,Account Executive,Sales,51758,57599,Office-Based,Full-time,5,156,4,1,4,2014-03-25,2017-05-04,1
Janet Hendricks,3780,Female,30,5.9,Marketing Manager,Marketing,55679,67118,Office-Based,Full-time,10,143,22,4,5,2015-05-02,2021-04-08,1
Dennis Moon,2389,Male,62,8.2,Account Executive,Sales,76550,91992,Remote,Part-time,31,132,37,4,5,2016-11-06,,0
John Smith,5649,Male,51,9.8,Account Executive,Sales,52695,60079,Office-Based,Full-time,16,180,13,3,4,2015-04-10,,0
William Freeman,9445,Male,64,4.9,Marketing Specialist,Marketing,53735,82221,Remote,Full-time,46,178,15,3,3,2020-03-06,,0
Lucas Robinson,6491,Male,56,6.7,Account Executive,Sales,44643,60063,Office-Based,Full-time,38,161,2,5,4,2013-05-20,2020-01-15,1
Carrie Wagner,2530,Female,36,1.2,Sales Manager,Sales,88349,115388,Office-Based,Full-time,9,148,15,0,1,2023-10-31,,0
Amanda Parks,4848,Female,25,2.2,Sales Manager,Sales,65384,89860,Remote,Full-time,4,200,23,1,4,2022-11-27,,0
Sharon Baker,6085,Female,34,7.5,Sales Manager,Sales,47281,77790,Office-Based,Full-time,8,163,5,3,4,2017-07-10,,0
Cameron Rivera,4680,Female,60,1.8,Software Engineer,IT,76225,91278,Remote,Full-time,41,182,21,0,4,2012-08-09,2014-05-27,1
Taylor Booth,4262,Male,59,2.2,Engineering Manager,IT,68056,116302,Office-Based,Full-time,20,175,26,0,3,2022-11-19,,0
Pamela Williams,3414,Male,58,8.9,Marketing Manager,Marketing,88069,121113,Remote,Full-time,11,181,37,1,5,2016-02-18,,0
Kaitlyn Wade,1400,Male,50,9.4,Engineering Manager,IT,87958,114606,Office-Based,Full-time,27,157,37,1,4,2015-08-18,,0
John Hall,1757,Male,23,3.9,Director,IT,77380,126354,Office-Based,Part-time,4,179,1,4,5,2021-03-08,,0
Robin Charles,5011,Female,33,10.5,Director,IT,81111,85744,Office-Based,Full-time,14,187,37,1,3,2014-07-30,,0
Mary Benitez,8784,Female,39,12.3,Software Engineer,IT,97727,119727,Office-Based,Full-time,16,166,34,1,5,2012-10-06,,0
Donna Ayala,2193,Male,46,4.3,Marketing Specialist,Marketing,51486,93964,Office-Based,Full-time,6,146,9,3,3,2020-09-18,,0
Joseph Johnson,8461,Female,37,14.6,Director,IT,86061,99810,Office-Based,Full-time,18,161,12,5,4,2010-06-27,,0
Jon Vasquez,7790,Female,54,11.7,Marketing Specialist,Marketing,62624,92273,Office-Based,Full-time,13,135,37,1,4,2013-05-26,,0
Aaron Santos,4185,Female,50,13.0,Account Executive,Sales,45254,70857,Office-Based,Full-time,20,129,26,4,3,2012-01-19,,0
David Bradford,7291,Female,29,1.8,Software Engineer,IT,81109,82596,Remote,Part-time,4,189,22,0,5,2023-03-23,,0
Anna Carter,9099,Female,44,5.4,Account Executive,Sales,41444,56669,Office-Based,Full-time,15,162,2,2,4,2019-09-17,,0
Katherine Mayer,7547,Female,63,7.5,Engineering Manager,IT,85669,120413,Office-Based,Full-time,39,158,16,5,5,2017-07-30,,0
Laura Baxter,4997,Female,32,6.1,Marketing Specialist,Marketing,90446,93547,Remote,Full-time,14,141,11,3,5,2018-12-21,,0
Megan Johnson,3417,Male,56,7.2,Sales Manager,Sales,55591,63253,Remote,Full-time,34,136,37,2,4,2014-12-14,2022-02-27,1
Stephanie Everett,1090,Female,33,1.5,Marketing Specialist,Marketing,49695,74134,Office-Based,Part-time,12,188,12,1,4,2019-06-07,2020-12-01,1
Daniel King,2746,Male,47,9.5,Marketing Specialist,Marketing,50227,50508,Office-Based,Full-time,14,184,5,4,4,2015-07-29,,0
Dr. Susan Navarro,7965,Female,52,0.3,Marketing Specialist,Marketing,85163,92523,Office-Based,Part-time,10,137,1,1,5,2024-09-26,,0
Steven Davis,4585,Male,41,1.8,Marketing Specialist,Marketing,46060,67448,Remote,Full-time,9,194,15,1,5,2023-02-26,2024-11-30,1
Christopher Pham,3881,Female,34,4.1,Software Engineer,IT,65848,78591,Office-Based,Full-time,12,185,14,1,5,2018-08-11,2022-09-25,1
Leah Sheppard,9486,Female,47,13.0,Marketing Specialist,Marketing,40798,59452,Office-Based,Full-time,25,177,9,4,5,2011-02-20,2024-02-26,1
Melanie Lopez,8611,Male,35,13.9,Marketing Specialist,Marketing,50734,98444,Office-Based,Full-time,17,173,37,4,3,2011-02-11,,0
Jessica Mccarty,1822,Male,31,8.2,Account Executive,Sales,78710,128262,Office-Based,Full-time,13,154,4,3,4,2015-12-30,2024-03-18,1
Charles Jones,5082,Female,58,6.8,Director,IT,65019,83989,Office-Based,Full-time,19,158,18,2,5,2018-04-11,,0
Elizabeth Taylor,2988,Female,53,7.1,Director,IT,40160,50254,Remote,Part-time,15,180,25,1,3,2017-12-19,,0
Karen Gill,8478,Female,48,8.8,Account Executive,Sales,47822,65989,Office-Based,Part-time,29,196,13,2,5,2014-02-11,2022-12-02,1
Mrs. Angela Olson DVM,3184,Female,58,10.3,Engineering Manager,IT,93626,101463,Office-Based,Full-time,31,122,19,4,5,2014-10-09,,0
Michael Pena,8612,Male,59,10.3,Marketing Specialist,Marketing,50702,54168,Remote,Full-time,25,165,9,2,3,2012-05-29,2022-09-05,1
Deborah Brandt,9702,Female,55,4.5,Director,IT,81158,93167,Office-Based,Full-time,37,141,7,2,5,2020-07-09,,0
Corey Nguyen,6198,Female,65,10.4,Software Engineer,IT,78013,101057,Office-Based,Full-time,34,186,29,1,4,2014-08-21,,0
Eddie Gutierrez,8251,Female,48,12.8,Sales Manager,Sales,72989,87479,Office-Based,Full-time,16,191,24,2,5,2012-04-04,,0
Lisa Anderson,9270,Male,48,7.0,Account Executive,Sales,71425,94245,Office-Based,Full-time,11,176,14,2,5,2018-02-04,,0
Sandra Kim,7991,Female,33,10.9,Sales Manager,Sales,96152,141649,Remote,Full-time,11,136,14,2,4,2014-02-18,,0
Jennifer Owens,9976,Male,49,4.7,Account Executive,Sales,90770,122506,Office-Based,Full-time,8,133,21,1,3,2020-05-03,,0
Ebony Gardner,8305,Male,52,2.4,Marketing Specialist,Marketing,83750,84423,Office-Based,Full-time,5,197,28,0,2,2021-01-09,2023-05-22,1
Joanne Watkins,3607,Male,33,9.7,Director,IT,88902,107080,Office-Based,Full-time,10,140,3,2,5,2015-05-14,,0
Paul Hartman,8777,Male,54,6.3,Director,IT,40916,75573,Remote,Full-time,33,156,1,5,4,2018-10-09,,0
David King,8373,Male,28,2.6,Engineering Manager,IT,78625,90757,Office-Based,Part-time,10,143,2,1,5,2022-06-28,,0
John Wilson,5246,Female,49,5.3,Director,IT,60596,68697,Office-Based,Full-time,19,183,8,1,5,2011-05-27,2016-09-06,1
Maria Burch,5050,Female,57,11.3,Account Executive,Sales,65217,83803,Office-Based,Full-time,22,176,2,4,4,2013-09-22,,0
Gina Long,5543,Female,40,6.0,Director,IT,92588,123761,Office-Based,Full-time,13,121,37,1,5,2019-02-04,,0
Peggy Fowler,9540,Female,65,1.3,Account Executive,Sales,49395,75269,Office-Based,Full-time,35,133,15,0,4,2023-07-27,2024-10-29,1
Derek Jimenez,8939,Male,26,1.4,Software Engineer,IT,95314,121809,Remote,Full-time,4,183,16,0,2,2023-09-15,,0
Craig Sanford,4919,Female,63,5.0,Marketing Manager,Marketing,71754,105270,Remote,Full-time,36,133,2,5,3,2020-01-13,,0
Mary Howard,5499,Female,53,2.6,Account Executive,Sales,88352,91815,Office-Based,Full-time,11,123,31,0,5,2011-09-14,2014-04-07,1
Frank Butler,8206,Female,60,3.9,Software Engineer,IT,46313,96131,Remote,Full-time,23,183,1,5,5,2021-02-14,,0
Walter Cain,2269,Male,40,13.4,Software Engineer,IT,62519,97943,Office-Based,Part-time,22,124,37,3,5,2011-08-16,,0
Maria Brown,5681,Male,46,14.6,Account Executive,Sales,42153,53744,Office-Based,Full-time,22,158,15,4,5,2010-06-29,,0
April Ward,4841,Male,53,2.5,Director,IT,47168,84448,Office-Based,Full-time,27,189,20,1,5,2022-07-09,,0
Nicholas Clark,5451,Female,57,5.8,Marketing Specialist,Marketing,72420,111154,Office-Based,Full-time,9,165,21,4,5,2019-03-21,,0
Cameron Vaughn,6502,Female,42,3.7,Director,IT,64013,86876,Office-Based,Full-time,5,200,1,2,4,2011-09-24,2015-06-06,1
Shane Smith,6238,Male,49,0.6,Account Executive,Sales,83335,99340,Remote,Full-time,14,195,2,1,3,2024-06-07,,0
Jonathan Williams,9849,Male,41,2.4,Account Executive,Sales,70206,113313,Office-Based,Full-time,3,173,17,1,4,2018-02-13,2020-07-09,1
Elizabeth Williamson,2320,Female,59,5.9,Marketing Manager,Marketing,61130,98651,Remote,Full-time,30,146,4,5,4,2019-02-06,2025-01-08,1
Christopher Sparks,3267,Female,32,12.7,Marketing Manager,Marketing,81644,86580,Office-Based,Full-time,14,156,37,2,4,2012-05-30,,0
Andrew Clay,3471,Female,58,7.8,Account Executive,Sales,78788,100863,Remote,Full-time,13,187,5,5,4,2017-04-23,,0
Miguel Rodriguez,4788,Male,44,11.1,Marketing Manager,Marketing,83480,118866,Office-Based,Full-time,20,152,2,3,5,2013-12-23,,0
Collin Contreras,7275,Female,64,2.5,Software Engineer,IT,72715,86671,Office-Based,Full-time,4,179,30,0,2,2022-07-12,,0
Desiree Garrison DDS,3503,Female,58,1.3,Marketing Specialist,Marketing,70309,79991,Remote,Full-time,35,158,15,0,4,2023-10-13,,0
Ruth Little,4505,Female,42,0.4,Director,IT,67029,84522,Office-Based,Full-time,21,152,4,0,3,2024-09-14,,0
Nicholas Ellis,2052,Male,47,5.8,Sales Manager,Sales,92235,112586,Office-Based,Full-time,12,175,19,1,4,2013-05-10,2019-03-02,1
Kenneth Anderson,7797,Male,34,0.9,Director,IT,92660,110864,Office-Based,Full-time,1,125,4,1,5,2021-04-14,2022-03-16,1
Michael Miller,7678,Female,23,0.3,Director,IT,44166,70839,Office-Based,Full-time,3,131,3,1,4,2024-08-31,2024-12-30,1
Alexis Williams,6421,Male,37,1.1,Software Engineer,IT,83530,121568,Office-Based,Part-time,18,152,14,0,3,2023-02-17,2024-04-12,1
Summer Walker,9890,Male,37,14.9,Engineering Manager,IT,65555,114600,Office-Based,Part-time,17,147,33,5,3,2010-02-16,,0
Ronald Gomez,8633,Male,35,0.6,Director,IT,78632,82297,Office-Based,Full-time,14,134,6,1,4,2024-06-15,,0
Chris Wong,7812,Female,52,12.9,Marketing Manager,Marketing,86902,111002,Office-Based,Full-time,17,197,26,3,3,2012-03-01,,0
Douglas Hernandez,2020,Male,64,10.0,Engineering Manager,IT,85915,109695,Office-Based,Full-time,35,188,37,3,5,2014-04-14,2024-04-23,1
Mrs. Nicole Nguyen,4388,Female,46,1.0,Account Executive,Sales,93916,143504,Remote,Full-time,10,140,1,1,5,2019-06-24,2020-06-25,1
Elizabeth Wallace,7883,Female,63,5.9,Director,IT,91082,123305,Office-Based,Full-time,23,162,37,1,5,2019-03-03,,0
Miranda Smith,7381,Male,32,6.5,Marketing Manager,Marketing,79460,127250,Office-Based,Full-time,8,178,16,3,5,2018-08-04,,0
Michelle Thomas,1320,Male,63,13.6,Account Executive,Sales,66257,79369,Office-Based,Full-time,42,130,37,2,3,2011-06-06,,0
Mrs. Nicole Ramirez,7232,Male,55,4.6,Engineering Manager,IT,66890,87822,Office-Based,Full-time,13,137,8,5,4,2020-06-06,,0
John Galloway,8814,Female,40,0.7,Marketing Manager,Marketing,97435,122163,Office-Based,Full-time,12,148,8,0,1,2022-05-12,2023-01-07,1
Dawn Mayo,1096,Male,57,8.1,Marketing Manager,Marketing,52993,70149,Office-Based,Full-time,16,171,15,1,5,2016-12-03,,0
Daryl Lowe,6763,Female,31,2.4,Account Executive,Sales,87093,121554,Office-Based,Part-time,5,178,28,0,4,2019-06-27,2021-11-05,1
Amber Curtis,5892,Female,29,0.6,Marketing Specialist,Marketing,88918,121303,Office-Based,Full-time,4,146,2,1,5,2024-04-12,2024-11-10,1
Mr. Adam Gray,7389,Female,65,1.4,Account Executive,Sales,59018,76175,Remote,Full-time,28,151,16,0,2,2023-07-24,2024-12-11,1
Jeffrey Galloway,7865,Female,27,0.3,Engineering Manager,IT,53907,100656,Office-Based,Full-time,6,196,1,1,4,2023-06-11,2023-09-18,1
Brandon Hernandez,9818,Male,57,5.1,Marketing Specialist,Marketing,79739,123699,Office-Based,Full-time,21,125,11,4,3,2018-09-07,2023-10-16,1
Shannon Wyatt PhD,9947,Female,41,3.1,Account Executive,Sales,78042,89797,Remote,Full-time,8,163,5,5,5,2021-12-29,,0
Ralph Hodge,4613,Male,27,7.0,Marketing Specialist,Marketing,47657,68187,Remote,Full-time,9,155,37,2,5,2018-01-30,,0
Debbie Callahan,8999,Female,40,7.2,Software Engineer,IT,60513,89071,Office-Based,Full-time,17,182,35,3,5,2017-11-27,,0
David Young,4595,Male,57,12.1,Sales Manager,Sales,43576,58640,Remote,Full-time,14,140,37,2,5,2012-12-22,,0
Cody Martin,5471,Female,29,10.6,Marketing Specialist,Marketing,86466,123222,Office-Based,Full-time,11,138,37,4,3,2014-06-26,,0
Bridget Giles,8140,Male,35,7.6,Director,IT,57877,94789,Office-Based,Full-time,10,194,6,5,5,2017-06-08,,0
Robert House,1475,Male,55,14.5,Sales Manager,Sales,90348,122992,Office-Based,Full-time,28,123,37,1,4,2010-07-07,,0
Cynthia Phillips,7371,Male,47,14.1,Sales Manager,Sales,41892,47204,Office-Based,Full-time,28,181,37,3,4,2010-12-09,,0
Adriana Coffey,6507,Female,60,14.9,Marketing Manager,Marketing,61293,109235,Office-Based,Part-time,16,192,37,5,3,2010-03-17,,0
Valerie Clark,7624,Male,63,0.6,Account Executive,Sales,66139,82861,Remote,Part-time,5,171,6,1,3,2023-08-31,2024-03-26,1
Sarah Kirk,3704,Male,32,4.3,Account Executive,Sales,59565,91733,Office-Based,Full-time,9,159,11,2,5,2020-09-28,,0
James Guerrero,8657,Male,44,3.8,Marketing Manager,Marketing,69192,94625,Office-Based,Full-time,20,174,23,2,3,2021-03-22,,0
Jon Mills,3091,Female,45,11.0,Account Executive,Sales,73642,96038,Office-Based,Full-time,25,139,37,1,5,2014-01-07,,0
Christine Lane,1441,Male,40,12.8,Sales Manager,Sales,48374,93221,Office-Based,Full-time,20,186,37,3,4,2012-03-24,,0
Michael Stanley,7455,Male,57,6.2,Software Engineer,IT,67847,94914,Remote,Full-time,39,192,23,1,5,2018-03-21,2024-06-17,1
Mrs. Miranda Myers,1444,Female,38,6.5,Engineering Manager,IT,83357,113692,Remote,Full-time,7,170,37,1,3,2018-07-25,,0
Juan Maddox,2375,Female,41,12.3,Software Engineer,IT,92942,110313,Office-Based,Part-time,23,143,5,4,4,2012-10-01,,0
Kristen Graham,8022,Male,60,5.1,Software Engineer,IT,41174,41557,Office-Based,Full-time,12,181,1,4,4,2013-10-31,2018-11-21,1
Jeffrey Stokes,3223,Female,64,14.2,Software Engineer,IT,93289,133707,Office-Based,Full-time,46,170,10,3,5,2010-11-17,,0
Andrew Fleming,8564,Male,30,4.4,Engineering Manager,IT,52335,54092,Remote,Full-time,6,150,14,1,4,2017-04-03,2021-09-12,1
Daniel Bell,3977,Male,27,0.3,Marketing Manager,Marketing,41429,49061,Remote,Full-time,3,176,1,1,5,2024-09-20,,0
Katrina Guerra,1823,Female,23,4.5,Marketing Specialist,Marketing,77318,102990,Remote,Full-time,5,200,37,2,5,2020-07-10,,0
Dillon Davis,5262,Female,48,2.2,Account Executive,Sales,71948,98141,Office-Based,Full-time,21,198,13,1,5,2022-11-23,,0
Bridget Ward,6363,Female,36,8.4,Software Engineer,IT,60699,96957,Remote,Full-time,9,173,37,4,5,2016-08-27,,0
Beth Dalton,4467,Male,53,6.9,Engineering Manager,IT,68588,69951,Remote,Full-time,18,180,5,4,4,2018-03-07,,0
Ronald Rivera,8449,Male,54,0.1,Marketing Specialist,Marketing,87382,134003,Office-Based,Full-time,30,166,1,0,4,2024-12-01,2025-01-06,1
Elizabeth Ritter,6355,Male,61,8.8,Sales Manager,Sales,51356,64429,Remote,Full-time,14,173,14,4,5,2015-09-20,2024-07-10,1
Adam Harvey,6529,Female,41,0.5,Marketing Specialist,Marketing,97731,114823,Office-Based,Full-time,2,184,6,0,1,2017-11-23,2018-05-24,1
Kevin Dodson,5558,Male,43,11.2,Sales Manager,Sales,71874,88770,Office-Based,Full-time,13,125,6,5,5,2013-11-08,,0
Holly Gaines,7906,Female,31,11.6,Marketing Manager,Marketing,92362,122320,Office-Based,Full-time,12,133,37,1,5,2013-06-05,,0
Richard Hernandez,5133,Male,57,5.4,Director,IT,53460,77160,Remote,Full-time,16,176,37,1,5,2018-04-20,2023-09-23,1
Michele Myers,2341,Female,28,0.1,Account Executive,Sales,95613,108844,Office-Based,Full-time,6,120,1,0,2,2024-12-24,2025-01-23,1
Samantha Hughes,8705,Female,43,3.6,Marketing Specialist,Marketing,86871,136340,Office-Based,Full-time,6,151,14,3,3,2020-05-24,2024-01-16,1
Adam Medina,1317,Female,36,1.4,Marketing Manager,Marketing,95862,129688,Office-Based,Full-time,15,123,5,1,4,2015-12-21,2017-05-02,1
Angela Rowe,1853,Male,55,5.0,Marketing Manager,Marketing,90618,101387,Office-Based,Full-time,27,124,2,3,5,2020-01-12,,0
Keith Anderson,6733,Male,58,1.3,Engineering Manager,IT,85926,122207,Office-Based,Full-time,28,160,4,1,5,2022-04-16,2023-08-09,1
Katelyn Herring,4673,Male,39,11.1,Engineering Manager,IT,53443,89122,Office-Based,Full-time,18,176,1,4,5,2013-12-25,,0
Randall Gilbert,2124,Female,34,8.9,Marketing Specialist,Marketing,65558,113078,Office-Based,Full-time,9,186,13,5,5,2016-03-16,,0
Katie Marks,1659,Female,35,3.2,Marketing Specialist,Marketing,89613,131273,Remote,Full-time,8,189,1,5,5,2021-01-13,2024-03-15,1
Angel King,1508,Male,41,13.1,Director,IT,64443,81466,Office-Based,Full-time,15,126,37,1,5,2011-12-19,,0
Judy Mason,5051,Male,50,14.8,Sales Manager,Sales,92781,141655,Office-Based,Full-time,29,200,37,3,5,2010-03-21,2025-01-04,1
Lisa Perez,4266,Male,44,4.1,Engineering Manager,IT,64750,98806,Office-Based,Full-time,23,186,24,2,5,2014-01-30,2018-02-24,1
Anna Riddle,1333,Female,51,0.8,Account Executive,Sales,44075,71920,Office-Based,Full-time,27,177,9,0,1,2024-01-13,2024-10-21,1
Devon James,3496,Female,59,8.2,Marketing Manager,Marketing,81711,109460,Office-Based,Full-time,25,182,22,5,5,2016-11-09,,0
Samantha Peterson,4908,Female,32,2.9,Sales Manager,Sales,86171,119803,Office-Based,Full-time,10,147,20,1,4,2016-08-04,2019-07-15,1
Nathan Baker,3068,Male,32,9.1,Director,IT,66779,74009,Remote,Full-time,10,125,4,5,5,2015-12-25,,0
Alexis Black,8758,Male,45,4.3,Marketing Manager,Marketing,41833,51196,Remote,Full-time,14,126,10,3,5,2020-10-02,,0
Matthew Brady,2874,Female,40,10.6,Software Engineer,IT,62849,67276,Office-Based,Full-time,11,193,37,1,4,2012-10-03,2023-05-21,1
Donald Nelson,4571,Female,43,4.2,Director,IT,49078,82158,Office-Based,Full-time,24,177,5,2,3,2020-11-26,,0
Angela Wilson DDS,8619,Female,27,1.9,Sales Manager,Sales,98998,124910,Office-Based,Full-time,8,176,15,1,5,2023-03-09,,0
Charles Peterson,5198,Male,32,1.3,Engineering Manager,IT,76657,82237,Remote,Full-time,10,193,16,0,4,2023-09-21,,0
Deborah Finley,7043,Male,52,5.2,Sales Manager,Sales,41243,59262,Office-Based,Full-time,9,194,31,5,4,2019-11-01,,0
Shelly Cooper,3749,Female,47,1.7,Marketing Specialist,Marketing,68640,80469,Office-Based,Full-time,29,160,20,0,2,2023-05-26,,0
Jose Murphy,3683,Male,29,8.3,Sales Manager,Sales,51971,68719,Office-Based,Full-time,9,172,29,3,5,2016-10-18,,0
Lucas Estrada,6096,Male,61,9.3,Marketing Specialist,Marketing,65555,72026,Office-Based,Full-time,11,161,37,1,4,2015-10-14,,0
Christina Garrett,1420,Male,25,2.2,Marketing Manager,Marketing,73333,122641,Office-Based,Part-time,7,154,27,0,1,2022-10-25,2025-01-18,1
Tiffany Lane,6111,Female,57,5.4,Engineering Manager,IT,55318,56538,Remote,Part-time,7,132,30,4,4,2019-09-05,,0
Daniel Conley,7149,Male,41,5.1,Sales Manager,Sales,91306,100636,Office-Based,Part-time,8,151,6,5,5,2020-01-01,,0
Yvonne Smith,7498,Female,57,0.6,Engineering Manager,IT,50969,51004,Remote,Part-time,30,154,4,1,5,2024-06-09,,0
Jill Cooper,4249,Female,44,4.7,Marketing Specialist,Marketing,42980,53558,Office-Based,Full-time,23,158,16,5,3,2020-05-07,,0
Michael Mendoza,2245,Male,30,9.2,Software Engineer,IT,73083,93943,Office-Based,Part-time,11,153,36,2,5,2015-10-31,,0
Randy Campbell,4978,Female,39,0.8,Marketing Manager,Marketing,79289,100814,Remote,Full-time,11,120,9,0,3,2024-03-09,2024-12-21,1
Jasmine Walker,2669,Male,22,1.2,Director,IT,65741,101007,Remote,Full-time,4,129,9,1,5,2023-11-01,,0
Daniel Calhoun,5941,Female,65,3.5,Marketing Manager,Marketing,51612,97292,Office-Based,Full-time,42,167,2,3,5,2019-09-30,2023-03-25,1
Corey Sosa,2983,Female,22,0.9,Sales Manager,Sales,45896,86098,Office-Based,Full-time,3,148,7,1,4,2022-11-09,2023-10-13,1
Kenneth Zimmerman,1672,Female,45,4.0,Sales Manager,Sales,40467,53317,Office-Based,Full-time,27,134,3,5,5,2013-08-24,2017-08-27,1
Danielle Shannon,6688,Female,32,11.0,Sales Manager,Sales,88888,93151,Remote,Part-time,12,149,27,5,5,2014-01-19,,0
Alejandro Mckee,9728,Female,34,10.2,Software Engineer,IT,56575,101184,Office-Based,Full-time,16,174,22,5,5,2014-11-08,,0
Craig Freeman,8018,Male,42,2.2,Engineering Manager,IT,73966,104544,Office-Based,Full-time,11,125,26,0,4,2022-11-12,,0
Ariel Rich,7071,Male,25,5.9,Account Executive,Sales,65680,78433,Office-Based,Full-time,7,123,21,3,5,2018-08-31,2024-07-07,1
Bonnie Clark,2129,Male,49,4.9,Sales Manager,Sales,61576,81944,Remote,Full-time,12,123,4,2,4,2020-02-28,,0
Julia Trevino,9289,Male,59,2.5,Sales Manager,Sales,47067,78103,Remote,Full-time,24,126,19,1,5,2022-07-14,,0
Denise Willis,6590,Male,26,5.5,Software Engineer,IT,48180,53785,Office-Based,Part-time,6,168,10,4,4,2019-07-09,,0
Tracy Bond,1207,Male,30,1.8,Software Engineer,IT,81037,109338,Remote,Full-time,2,191,1,1,3,2018-02-14,2019-12-02,1
Joshua Rodriguez,7882,Female,47,14.2,Director,IT,83235,124129,Remote,Full-time,18,174,37,5,5,2010-07-31,2024-10-18,1
Adam Williams,9031,Male,43,1.7,Software Engineer,IT,52614,59692,Remote,Full-time,16,128,5,1,5,2023-05-03,,0
Russell Blake,2729,Male,58,4.3,Marketing Manager,Marketing,71548,119036,Office-Based,Full-time,21,137,3,3,5,2014-05-09,2018-08-17,1
Sandy Sutton,8102,Male,30,10.1,Software Engineer,IT,98013,133477,Office-Based,Full-time,12,159,37,3,5,2015-01-05,,0
Amber Fischer,6934,Female,45,11.7,Sales Manager,Sales,73233,109897,Office-Based,Full-time,16,145,37,1,5,2013-04-29,,0
